max_features	min_samples_split	mean_validation_score
2	2	0.99012500000000003
2	4	0.99037500000000001
2	8	0.98993750000000003
2	16	0.989375
2	32	0.98856250000000001
3	2	0.99099999999999999
3	4	0.99087499999999995
3	8	0.99124999999999996
3	16	0.99099999999999999
3	32	0.98943749999999997
4	2	0.99131250000000004
4	4	0.99137500000000001
4	8	0.99131250000000004
4	16	0.99093750000000003
4	32	0.99024999999999996
5	2	0.99162499999999998
5	4	0.99131250000000004
5	8	0.99156250000000001
5	16	0.99124999999999996
5	32	0.99024999999999996
6	2	0.99193750000000003
6	4	0.99224999999999997
6	8	0.99193750000000003
6	16	0.99156250000000001
6	32	0.99106249999999996
7	2	0.9921875
7	4	0.99224999999999997
7	8	0.99212500000000003
7	16	0.99181249999999999
7	32	0.99124999999999996
8	2	0.99224999999999997
8	4	0.99206249999999996
8	8	0.99256250000000001
8	16	0.99212500000000003
8	32	0.99150000000000005
9	2	0.99256250000000001
9	4	0.99250000000000005
9	8	0.99237500000000001
9	16	0.9921875
9	32	0.99175000000000002
10	2	0.99256250000000001
10	4	0.99256250000000001
10	8	0.99250000000000005
10	16	0.99237500000000001
10	32	0.99156250000000001
11	2	0.99299999999999999
11	4	0.99250000000000005
11	8	0.99250000000000005
11	16	0.99231250000000004
11	32	0.99181249999999999
12	2	0.99243749999999997
12	4	0.99268749999999994
12	8	0.99250000000000005
12	16	0.99237500000000001
12	32	0.99156250000000001
13	2	0.99231250000000004
13	4	0.99243749999999997
13	8	0.99250000000000005
13	16	0.99243749999999997
13	32	0.99150000000000005
14	2	0.99231250000000004
14	4	0.99250000000000005
14	8	0.99231250000000004
14	16	0.99224999999999997
14	32	0.99137500000000001
15	2	0.99224999999999997
15	4	0.99256250000000001
15	8	0.99250000000000005
15	16	0.99237500000000001
15	32	0.99112500000000003
