max_features	min_samples_split	mean_validation_score
2	2	0.95386666666666664
2	4	0.95440000000000003
2	8	0.95466666666666666
2	16	0.95466666666666666
2	32	0.95386666666666664
3	2	0.95520000000000005
3	4	0.9549333333333333
3	8	0.95453333333333334
3	16	0.95426666666666671
3	32	0.95346666666666668
4	2	0.95466666666666666
4	4	0.95506666666666662
4	8	0.95520000000000005
4	16	0.95333333333333337
4	32	0.95386666666666664
5	2	0.95399999999999996
5	4	0.95399999999999996
5	8	0.95426666666666671
5	16	0.95453333333333334
5	32	0.95413333333333339
6	2	0.95399999999999996
6	4	0.95399999999999996
6	8	0.9549333333333333
6	16	0.95453333333333334
6	32	0.95440000000000003
7	2	0.95506666666666662
7	4	0.95440000000000003
7	8	0.9549333333333333
7	16	0.9549333333333333
7	32	0.95520000000000005
8	2	0.95479999999999998
8	4	0.95479999999999998
8	8	0.95440000000000003
8	16	0.95573333333333332
8	32	0.95546666666666669
9	2	0.95573333333333332
9	4	0.95546666666666669
9	8	0.95453333333333334
9	16	0.95573333333333332
9	32	0.95599999999999996
10	2	0.95453333333333334
10	4	0.95586666666666664
10	8	0.95520000000000005
10	16	0.95586666666666664
10	32	0.95653333333333335
11	2	0.95586666666666664
11	4	0.95586666666666664
11	8	0.95586666666666664
11	16	0.95533333333333337
11	32	0.95613333333333328
12	2	0.95626666666666671
12	4	0.95546666666666669
12	8	0.95520000000000005
12	16	0.95613333333333328
12	32	0.95666666666666667
13	2	0.95613333333333328
13	4	0.95533333333333337
13	8	0.95520000000000005
13	16	0.95626666666666671
13	32	0.95679999999999998
14	2	0.95573333333333332
14	4	0.95506666666666662
14	8	0.95599999999999996
14	16	0.95626666666666671
14	32	0.95679999999999998
15	2	0.95626666666666671
15	4	0.95520000000000005
15	8	0.95533333333333337
15	16	0.95613333333333328
15	32	0.95653333333333335
