max_features	min_samples_split	mean_validation_score
2	2	0.95350000000000001
2	4	0.954125
2	8	0.95387500000000003
2	16	0.95350000000000001
2	32	0.95274999999999999
3	2	0.95350000000000001
3	4	0.95362499999999994
3	8	0.95499999999999996
3	16	0.95499999999999996
3	32	0.95274999999999999
4	2	0.95362499999999994
4	4	0.95474999999999999
4	8	0.95550000000000002
4	16	0.95574999999999999
4	32	0.95399999999999996
5	2	0.95450000000000002
5	4	0.955125
5	8	0.956125
5	16	0.95574999999999999
5	32	0.95450000000000002
6	2	0.955125
6	4	0.95474999999999999
6	8	0.95525000000000004
6	16	0.95637499999999998
6	32	0.95562499999999995
7	2	0.95474999999999999
7	4	0.95537499999999997
7	8	0.956125
7	16	0.95650000000000002
7	32	0.95625000000000004
8	2	0.95562499999999995
8	4	0.95525000000000004
8	8	0.95587500000000003
8	16	0.95674999999999999
8	32	0.95537499999999997
9	2	0.95650000000000002
9	4	0.95562499999999995
9	8	0.95587500000000003
9	16	0.95662499999999995
9	32	0.95625000000000004
10	2	0.95462499999999995
10	4	0.95587500000000003
10	8	0.95550000000000002
10	16	0.95637499999999998
10	32	0.956125
11	2	0.95437499999999997
11	4	0.95462499999999995
11	8	0.95562499999999995
11	16	0.95662499999999995
11	32	0.95662499999999995
12	2	0.95550000000000002
12	4	0.95537499999999997
12	8	0.95662499999999995
12	16	0.95662499999999995
12	32	0.95674999999999999
13	2	0.95474999999999999
13	4	0.95474999999999999
13	8	0.95599999999999996
13	16	0.95725000000000005
13	32	0.95587500000000003
14	2	0.95537499999999997
14	4	0.95499999999999996
14	8	0.95499999999999996
14	16	0.956125
14	32	0.956125
15	2	0.95499999999999996
15	4	0.95474999999999999
15	8	0.95587500000000003
15	16	0.95599999999999996
15	32	0.95625000000000004
