max_features	min_samples_split	mean_validation_score
2	2	0.98946666666666672
2	4	0.98960000000000004
2	8	0.98933333333333329
2	16	0.98860000000000003
2	32	0.98773333333333335
3	2	0.99053333333333338
3	4	0.99053333333333338
3	8	0.99013333333333331
3	16	0.98980000000000001
3	32	0.98880000000000001
4	2	0.99099999999999999
4	4	0.99080000000000001
4	8	0.99119999999999997
4	16	0.99026666666666663
4	32	0.98960000000000004
5	2	0.99126666666666663
5	4	0.99126666666666663
5	8	0.99146666666666672
5	16	0.99113333333333331
5	32	0.99026666666666663
6	2	0.99146666666666672
6	4	0.99160000000000004
6	8	0.99173333333333336
6	16	0.99126666666666663
6	32	0.99033333333333329
7	2	0.99186666666666667
7	4	0.99199999999999999
7	8	0.99180000000000001
7	16	0.99139999999999995
7	32	0.99073333333333335
8	2	0.99213333333333331
8	4	0.99199999999999999
8	8	0.99206666666666665
8	16	0.99173333333333336
8	32	0.99080000000000001
9	2	0.99260000000000004
9	4	0.99253333333333338
9	8	0.99233333333333329
9	16	0.99199999999999999
9	32	0.99126666666666663
10	2	0.99273333333333336
10	4	0.99253333333333338
10	8	0.99219999999999997
10	16	0.99219999999999997
10	32	0.99113333333333331
11	2	0.99233333333333329
11	4	0.99260000000000004
11	8	0.99239999999999995
11	16	0.99199999999999999
11	32	0.99119999999999997
12	2	0.99239999999999995
12	4	0.99260000000000004
12	8	0.99253333333333338
12	16	0.99186666666666667
12	32	0.99119999999999997
13	2	0.99286666666666668
13	4	0.9926666666666667
13	8	0.99233333333333329
13	16	0.99193333333333333
13	32	0.99119999999999997
14	2	0.99273333333333336
14	4	0.99286666666666668
14	8	0.99226666666666663
14	16	0.99206666666666665
14	32	0.99099999999999999
15	2	0.99299999999999999
15	4	0.99260000000000004
15	8	0.99253333333333338
15	16	0.99186666666666667
15	32	0.99093333333333333
