Global Evidence:    0.993952134251652808E+02  +/-    0.361048615040219512E-01

Dim No.       Mean        Sigma
   1    0.518950893294715332E+00    0.204319188614107583E+00
   2    0.168908248286854845E+01    0.345742819381036182E+00
   3   -0.273413450009486114E+01    0.174840384710342045E+01
   4    0.678820947998733537E+01    0.179954426708732473E+01
   5    0.157234966073178928E+02    0.746545515901066903E+01
   6    0.107895458845892153E+05    0.615263140890190698E+04
   7   -0.649999999999996803E+00    0.349463206516461799E-07
   8   -0.299999999999996358E+01    0.442039876407126366E-06
   9    0.520499999999995353E+02    0.467203091198573662E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.464829227552218061E+00
   2    0.171202189207381816E+01
   3   -0.518032954235865795E+01
   4    0.671058685433320079E+01
   5    0.153464007230697437E+02
   6    0.963596728900478047E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.464829227552218061E+00
   2    0.171202189207381816E+01
   3   -0.518032954235865795E+01
   4    0.671058685433320079E+01
   5    0.153464007230697437E+02
   6    0.963596728900478047E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
