Global Evidence:    0.119098018175619160E+03  +/-    0.400344608189796766E-01

Dim No.       Mean        Sigma
   1    0.364950294534939768E+00    0.167720207789157943E+00
   2    0.215727783213651847E+01    0.411263878752804957E+00
   3   -0.340291849438766736E+01    0.161234907827999208E+01
   4    0.439010888242978048E+01    0.108554948617893099E+01
   5    0.122014709530090997E+02    0.429749376642698255E+01
   6    0.385700210986083403E+04    0.939415246893316635E+03
   7   -0.649999999999999689E+00                         NaN
   8   -0.299999999999998934E+01                         NaN
   9    0.520500000000001606E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.322330769244597637E+00
   2    0.219971679270968012E+01
   3   -0.569845317727211054E+01
   4    0.417640935953099302E+01
   5    0.119939572585379821E+02
   6    0.331457335194547977E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.234168606328326812E+00
   2    0.233589994439968152E+01
   3   -0.613940699834901515E+00
   4    0.370636647247247630E+01
   5    0.872680471213863385E+01
   6    0.389800763763006671E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
