Global Evidence:    0.134939909858332754E+03  +/-    0.384181703163006122E-01

Dim No.       Mean        Sigma
   1    0.525617972473333750E+00    0.204316752992582479E+00
   2    0.183513045532950092E+01    0.337806258568182471E+00
   3   -0.338342745118580845E+01    0.166536323885961024E+01
   4    0.527759322823368215E+01    0.137746889457640087E+01
   5    0.141470028436846356E+02    0.555052800373271893E+01
   6    0.452170365126443266E+04    0.111756825797370107E+04
   7   -0.649999999999998024E+00    0.379906558513103760E-07
   8   -0.300000000000001155E+01                         NaN
   9    0.520500000000002103E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.491503835110100706E+00
   2    0.185586305729312517E+01
   3   -0.569884184586038067E+01
   4    0.472027811456892366E+01
   5    0.125080442204208282E+02
   6    0.375444967761435282E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.265298685575373117E+00
   2    0.242330316060973949E+01
   3   -0.279123965236906812E+01
   4    0.384244738328969593E+01
   5    0.121298396870219705E+02
   6    0.388187691633886880E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
