Global Evidence:    0.133167093805054634E+03  +/-    0.373951468738623963E-01

Dim No.       Mean        Sigma
   1    0.607340434909775184E+00    0.273812203611448368E+00
   2    0.176287154535522905E+01    0.497544703590682036E+00
   3   -0.211820523315790243E+01    0.159981090551284910E+01
   4    0.551537545444884270E+01    0.251402856173205347E+01
   5    0.129333467981307173E+02    0.716508976044914814E+01
   6    0.441530494040205576E+04    0.129940202553369909E+04
   7   -0.649999999999999134E+00                         NaN
   8   -0.299999999999997069E+01    0.347551816394645020E-06
   9    0.520500000000001748E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.421920616092618106E+00
   2    0.206178503424822246E+01
   3   -0.628706904610806916E+00
   4    0.297995108014119259E+01
   5    0.727863063197970384E+01
   6    0.366766850991057800E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.592631550753761394E+00
   2    0.169368502171568469E+01
   3   -0.377732896557696174E+01
   4    0.722615820996298552E+01
   5    0.210300506024932261E+02
   6    0.613349522317859282E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
