Global Evidence:    0.139075558654182714E+03  +/-    0.371295565056313989E-01

Dim No.       Mean        Sigma
   1    0.656984322651194219E+00    0.247420314560226562E+00
   2    0.165698360826205104E+01    0.358973420043991187E+00
   3   -0.297328986996413169E+01    0.172639694663122834E+01
   4    0.561828102196582968E+01    0.173119420159854487E+01
   5    0.136725039489024542E+02    0.587157286422389646E+01
   6    0.460001682696852549E+04    0.115397988118212606E+04
   7   -0.650000000000000910E+00                         NaN
   8   -0.299999999999999467E+01    0.288944235886116585E-06
   9    0.520499999999998124E+02    0.504637014592092651E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.622823742158182037E+00
   2    0.163542495269044985E+01
   3   -0.575918564446504888E+01
   4    0.529544192447692552E+01
   5    0.126215467651206730E+02
   6    0.400196591181601661E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.942605893110713633E+00
   2    0.136575546235899603E+01
   3   -0.397430719332503202E+01
   4    0.691144791927685276E+01
   5    0.158901557119523567E+02
   6    0.545263529848784674E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
