Global Evidence:    0.994238252369474935E+02  +/-    0.360752625082153139E-01

Dim No.       Mean        Sigma
   1    0.525453884726326481E+00    0.203042295482758012E+00
   2    0.168010112137860945E+01    0.345420704596795802E+00
   3   -0.278760279602184413E+01    0.175794781897353403E+01
   4    0.678373541341426023E+01    0.182738784619793382E+01
   5    0.156061537551645078E+02    0.744540586255360637E+01
   6    0.465182981350548744E+04    0.121758635085775404E+04
   7   -0.649999999999999023E+00    0.166600046865626410E-07
   8   -0.299999999999999645E+01    0.842936970217880693E-07
   9    0.520499999999997200E+02    0.426496119976003610E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.447048485273717877E+00
   2    0.175196599960327148E+01
   3   -0.597522532939910889E+01
   4    0.670306622982025146E+01
   5    0.159867124640661409E+02
   6    0.452163659297440518E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.280699508269897646E+00
   2    0.203523542365577459E+01
   3   -0.196457840013851026E+01
   4    0.603987126685399645E+01
   5    0.149016853462339256E+02
   6    0.459776907653658964E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
