Global Evidence:    0.979626086322022758E+02  +/-    0.514954043564637420E-01

Dim No.       Mean        Sigma
   1    0.504064028956689558E+00    0.206881149736121539E+00
   2    0.173281766262154369E+01    0.375348963545438230E+00
   3   -0.258088674402442786E+01    0.174236332286578088E+01
   4    0.618635309506053943E+01    0.188917032659548489E+01
   5    0.140210209071629759E+02    0.686067595115461160E+01
   6    0.105330390099483975E+05    0.596444737013896429E+04
   7   -0.650000000000005129E+00                         NaN
   8   -0.300000000000000400E+01    0.596046447753906250E-07
   9    0.520499999999999048E+02    0.504637014592092651E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.525156485649748817E+00
   2    0.159488214177086163E+01
   3   -0.596943133473638810E+01
   4    0.671196030827669787E+01
   5    0.136524943934552230E+02
   6    0.784661985298868512E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.285417034170910355E+00
   2    0.205617564282817078E+01
   3   -0.234133072483470972E+01
   4    0.517982628370139420E+01
   5    0.120744129142705301E+02
   6    0.138128502068307935E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
