Global Evidence:    0.994337659628178443E+02  +/-    0.441927941439158450E-01

Dim No.       Mean        Sigma
   1    0.521113611311566305E+00    0.204411486730328384E+00
   2    0.168778010880583151E+01    0.346173676547269105E+00
   3   -0.279968504485848557E+01    0.174959619156531931E+01
   4    0.674321098497494376E+01    0.180531237295294966E+01
   5    0.154950432328198069E+02    0.721300632890319893E+01
   6    0.463697851032120343E+04    0.119128762466258081E+04
   7   -0.650000000000003020E+00                         NaN
   8   -0.299999999999999112E+01    0.188486436615489693E-06
   9    0.520499999999999616E+02    0.953674316406250000E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.522892220038862154E+00
   2    0.163520807115998146E+01
   3   -0.594203192850009998E+01
   4    0.669458124100061980E+01
   5    0.147064898423489847E+02
   6    0.436999271724745813E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.606525314437889040E+00
   2    0.133208120237017047E+01
   3   -0.425790781485806136E+01
   4    0.721845524503194547E+01
   5    0.100328369387752847E+02
   6    0.341585664409461606E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
