Global Evidence:    0.979661850910306384E+02  +/-    0.514828212613866881E-01

Dim No.       Mean        Sigma
   1    0.500466585762855187E+00    0.204185972032361773E+00
   2    0.173739982077323396E+01    0.371439578191759434E+00
   3   -0.260228756369181058E+01    0.173883448996855261E+01
   4    0.614964733946940356E+01    0.187523931416949963E+01
   5    0.140218752324066234E+02    0.690819577979533150E+01
   6    0.105802922285960631E+05    0.599620830660574484E+04
   7   -0.649999999999995914E+00    0.532077880840215864E-07
   8   -0.299999999999997424E+01    0.292001931999108539E-06
   9    0.520499999999998977E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.530445696616174578E+00
   2    0.160455052147526689E+01
   3   -0.579773518819007805E+01
   4    0.675141104111087742E+01
   5    0.141806880779283730E+02
   6    0.804250316424111134E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.287468476913150417E+00
   2    0.212679630150373677E+01
   3   -0.151432434552378758E+01
   4    0.679559948628923127E+01
   5    0.226658747742678059E+02
   6    0.220604364855943277E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
