Global Evidence:    0.842288104674122877E+02  +/-    0.280310148028896124E-01

Dim No.       Mean        Sigma
   1    0.331788388682733193E+00    0.411288164166148662E-01
   2    0.328000000000001890E+01                         NaN
   3   -0.259999999999999232E+00    0.244283621173426522E-07
   4   -0.800000000000004796E+01                         NaN
   5    0.103999999999999693E+01    0.977134484693706089E-07
   6    0.448000000000003418E+01                         NaN
   7    0.343912635651636922E+01    0.426317500477582545E+00
   8    0.176700040420287905E+04    0.219039115627568037E+03
   9   -0.650000000000002132E+00                         NaN
  10   -0.300000000000000933E+01                         NaN
  11    0.520500000000000469E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.331713688912525451E+00
   2    0.327999999999999980E+01
   3   -0.260000000000000009E+00
   4   -0.800000000000000000E+01
   5    0.104000000000000004E+01
   6    0.448000000000000043E+01
   7    0.343835206194396470E+01
   8    0.176660257676631750E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.374014679165023123E+00
   2    0.327999999999999980E+01
   3   -0.260000000000000009E+00
   4   -0.800000000000000000E+01
   5    0.104000000000000004E+01
   6    0.448000000000000043E+01
   7    0.387681963780364436E+01
   8    0.199188432086562671E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
