Global Evidence:    0.975472314589565173E+02  +/-    0.536229405349056901E-01

Dim No.       Mean        Sigma
   1    0.494558299563071846E+00    0.223072881605393292E+00
   2    0.196630069124335027E+01    0.995420298548977511E+00
   3    0.123161373276110786E+01    0.161307186362698118E+01
   4   -0.441889791121932518E+01    0.298577976374609522E+01
   5    0.144529066172743570E+01    0.213929192177280880E+01
   6    0.667806683114451261E+01    0.176167886873525714E+01
   7    0.318142520619594604E+01    0.475279376123283726E+01
   8    0.110550073991924546E+05    0.684293198468628998E+04
   9   -0.649999999999995803E+00    0.333200093731252820E-07
  10   -0.299999999999997113E+01    0.367427706895409585E-06
  11    0.520499999999997627E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.321685550565318445E+00
   2    0.254950636985246204E+01
   3    0.162980454358416527E+01
   4   -0.899284621032721709E+01
   5    0.722995200099966873E+00
   6    0.662853133763622004E+01
   7    0.128777292271623289E+01
   8    0.129263298218363580E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.279692295895754228E+00
   2    0.135943651199340820E+00
   3    0.206311225891113281E+01
   4   -0.533652424812316895E+01
   5    0.116490193131362323E-01
   6    0.680619890580968256E+01
   7    0.280133006371209470E+00
   8    0.171499317811065230E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
