Global Evidence:    0.978036369465384468E+02  +/-    0.514347379793781354E-01

Dim No.       Mean        Sigma
   1    0.517690971759333762E+00    0.231978613700042774E+00
   2    0.171715544849409607E+01    0.436647631253178958E+00
   3   -0.238066469313118123E+01    0.169078902618203797E+01
   4    0.522188003599808859E+01    0.185535530097006007E+01
   5    0.100901499461930158E+02    0.437964953326023920E+01
   6    0.362621295693534239E+04    0.860727472213116016E+03
   7   -0.650000000000001910E+00                         NaN
   8   -0.299999999999997913E+01    0.326468084755638909E-06
   9    0.520499999999998195E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.426527668349737099E+00
   2    0.184104896678482621E+01
   3   -0.361317203520312269E+00
   4    0.342136662779374356E+01
   5    0.658337189507017584E+01
   6    0.344665498320482448E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.445058561170390221E+00
   2    0.163273846104817988E+01
   3   -0.507745382464710460E+00
   4    0.804740695890384039E+01
   5    0.162244838104838003E+02
   6    0.472963394529797915E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
