Global Evidence:    0.991059771912950396E+02  +/-    0.441577450285536785E-01

Dim No.       Mean        Sigma
   1    0.562051205936946130E+00    0.234463334353930547E+00
   2    0.161454613444923556E+01    0.401528767335234127E+00
   3   -0.266609951103142695E+01    0.173938829351250934E+01
   4    0.591579684418541341E+01    0.193245524251066403E+01
   5    0.111371247826343911E+02    0.484960034734772805E+01
   6    0.816647188550540341E+04    0.455136464922463529E+04
   7   -0.649999999999998690E+00    0.547503622498328576E-07
   8   -0.300000000000001199E+01                         NaN
   9    0.520500000000000043E+02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.396744524097390638E+00
   2    0.192043978442283447E+01
   3   -0.622582836114986549E+00
   4    0.342955246639437483E+01
   5    0.691522177123336679E+01
   6    0.852668980124791415E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.622147602342134620E+00
   2    0.150942741808132386E+01
   3   -0.108489535743067300E+00
   4    0.945051222581533956E+01
   5    0.214885758794087565E+02
   6    0.886752873460963019E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
