Global Evidence:    0.978186515447548572E+02  +/-    0.512845814550748902E-01

Dim No.       Mean        Sigma
   1    0.519439874795591394E+00    0.230470779614143556E+00
   2    0.171168536606214317E+01    0.432178252432939614E+00
   3   -0.238763779399557396E+01    0.169534468928162063E+01
   4    0.523882906786432212E+01    0.184808477754397082E+01
   5    0.100826205072392483E+02    0.433047218031783565E+01
   6    0.856101433301363977E+04    0.482787739082868848E+04
   7   -0.649999999999998135E+00                         NaN
   8   -0.299999999999998668E+01    0.219001448999331431E-06
   9    0.520499999999999119E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.384622849511116416E+00
   2    0.191600068971053239E+01
   3   -0.617234677807364740E+00
   4    0.343441735357882649E+01
   5    0.667381841584820013E+01
   6    0.849844258109656766E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.456467429716242101E+00
   2    0.169432430187163674E+01
   3   -0.549837970921274177E+01
   4    0.474514129183311084E+01
   5    0.882899857552305356E+01
   6    0.614625545240865085E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
