Global Evidence:    0.973252060986250171E+02  +/-    0.536920174079149812E-01

Dim No.       Mean        Sigma
   1    0.508658565169969767E+00    0.235333909746783976E+00
   2    0.190666821909376316E+01    0.978185984313570067E+00
   3    0.101483301584192964E+01    0.170267027260758064E+01
   4   -0.397791993677630629E+01    0.289864095013829415E+01
   5    0.143574422437600790E+01    0.197390119750510995E+01
   6    0.595397281622952512E+01    0.191677319882490549E+01
   7    0.290514436245206253E+01    0.371565460773760758E+01
   8    0.362092415416244603E+04    0.828540220428165071E+03
   9   -0.650000000000003242E+00                         NaN
  10   -0.299999999999998623E+01    0.381655945624878915E-06
  11    0.520499999999998479E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.499215768062280019E+00
   2    0.154995961721810049E+01
   3    0.279804448908822678E+01
   4   -0.609588298936078132E+00
   5    0.199140514382067102E+01
   6    0.328729185114538014E+01
   7    0.272819678729145876E+01
   8    0.347642250605947811E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.954467714901040543E+00
   2    0.111541241221765075E+01
   3    0.188304577611460289E+01
   4   -0.238063978785370445E+01
   5    0.450012904158620763E+01
   6    0.639085077171836957E+01
   7    0.639119902045683919E+01
   8    0.396947547130415933E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
