Global Evidence:    0.988427181216135580E+02  +/-    0.458811599620333466E-01

Dim No.       Mean        Sigma
   1    0.538413652156228606E+00    0.235858373111331537E+00
   2    0.166700336352170964E+01    0.451706465951142444E+00
   3   -0.586525245728729772E+00    0.265935303363419129E+01
   4   -0.480155602350957267E+01    0.288207119566608716E+01
   5    0.475250204224611483E+01    0.189073990375976830E+01
   6    0.746966051548235654E+01    0.164251195227028690E+01
   7    0.877903192300366264E+01    0.419598775912921695E+01
   8    0.852895213385484567E+04    0.507023135644764079E+04
   9   -0.650000000000003908E+00                         NaN
  10   -0.300000000000002842E+01                         NaN
  11    0.520500000000000469E+02    0.243140197448386406E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.344833461204211433E+00
   2    0.206363983817020014E+01
   3   -0.168190600511950450E+00
   4   -0.995296183833095682E+01
   5    0.331925538700414346E+01
   6    0.686908243171181532E+01
   7    0.706097196232138291E+01
   8    0.982055380448323922E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.814540285413871024E+00
   2    0.136832158176513352E+01
   3    0.873099257011333840E+00
   4   -0.404871833720541119E+01
   5    0.295568308209174901E+01
   6    0.951262898504146648E+01
   7    0.534691921064405484E+01
   8    0.565362735101513954E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
