Global Evidence:    0.233665956872276496E+03  +/-    0.388672871106179804E-01

Dim No.       Mean        Sigma
   1    0.120597384530398366E+01    0.319975424595668634E+00
   2    0.137847931475271945E+01    0.253559872386536100E+00
   3   -0.297794438442278819E+01    0.174676850333406208E+01
   4    0.628865857068419221E+01    0.172827790143171822E+01
   5    0.179111738054663086E+02    0.649608844930297646E+01
   6    0.636569420980605992E+04    0.130824115631981431E+04
   7   -0.650000000000001354E+00    0.000000000000000000E+00
   8   -0.299999999999998224E+01    0.355135658020168081E-06
   9    0.520499999999999972E+02    0.190734863281250000E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112728435197340726E+01
   2    0.141655637383633048E+01
   3   -0.498288688078239694E+01
   4    0.529678907429302992E+01
   5    0.152767438949797683E+02
   6    0.536645116324336323E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.128846861054898443E+01
   2    0.114230318205687098E+01
   3   -0.397812530648290696E+01
   4    0.634919291079789261E+01
   5    0.125771473351678047E+02
   6    0.492285516498589368E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
