Global Evidence:    0.979867705849192276E+02  +/-    0.419724913872250721E-01

Dim No.       Mean        Sigma
   1    0.498513846310094599E+00    0.202210431304514854E+00
   2    0.173932458632626252E+01    0.369228888291117829E+00
   3   -0.258168115400346254E+01    0.174243674316395780E+01
   4    0.620962932074263652E+01    0.188571642329273881E+01
   5    0.142253125458385679E+02    0.699004347893136124E+01
   6    0.445248027324568557E+04    0.117755288422297758E+04
   7   -0.650000000000011346E+00                         NaN
   8   -0.300000000000001776E+01    0.197686242482388008E-06
   9    0.520499999999999687E+02    0.614361702286011034E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.490104570228722447E+00
   2    0.169032576337739404E+01
   3   -0.598843943756670782E+01
   4    0.666600434535443753E+01
   5    0.153284635603365693E+02
   6    0.445581585600590279E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.501222195212710164E+00
   2    0.177694542535004318E+01
   3   -0.265725293218454173E+01
   4    0.382647953153571851E+01
   5    0.821872271395351461E+01
   6    0.304268058273592351E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
