Global Evidence:    0.992705769437700667E+02  +/-    0.359249195167204924E-01

Dim No.       Mean        Sigma
   1    0.389859148814476364E+00    0.173208086085525848E+00
   2    0.202811913580073000E+01    0.383519667479045423E+00
   3   -0.126176281064741103E+01    0.101788754346411081E+01
   4    0.359999999999998055E+01    0.360102831530409227E-06
   5    0.800879087562344694E+01    0.166298945201667148E+01
   6    0.345602464443301369E+04    0.650441566134739787E+03
   7   -0.649999999999996247E+00    0.591371501475108575E-07
   8   -0.299999999999998623E+01    0.206476546236142778E-06
   9    0.520500000000002032E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.392876003046277678E+00
   2    0.192585681429425870E+01
   3   -0.115387162063758097E-01
   4    0.360000000000000009E+01
   5    0.742390129726758996E+01
   6    0.405097033466426956E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.572801611156522283E+00
   2    0.163440687217726466E+01
   3   -0.178379641468360006E+01
   4    0.360000000000000009E+01
   5    0.693777459253602391E+01
   6    0.292539440174629135E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
