Global Evidence:    0.233568936187123398E+03  +/-    0.392732266614576817E-01

Dim No.       Mean        Sigma
   1    0.119793913418857345E+01    0.316118513853442140E+00
   2    0.138237730123472935E+01    0.252598126615078133E+00
   3   -0.298287539997548423E+01    0.174268616436780710E+01
   4    0.630147236539371480E+01    0.172642375366120349E+01
   5    0.180071926201426677E+02    0.665040384596337653E+01
   6    0.637249536398708369E+04    0.132548345485291679E+04
   7   -0.650000000000005018E+00                         NaN
   8   -0.300000000000002531E+01                         NaN
   9    0.520499999999999829E+02    0.490933901833868065E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112880504149373340E+01
   2    0.141975006674027848E+01
   3   -0.569882564439159633E+01
   4    0.543878425738841109E+01
   5    0.158824791490862456E+02
   6    0.544807533726792281E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.150980406696492953E+01
   2    0.121876233118619970E+01
   3   -0.489498372536695303E+01
   4    0.996111403054616140E+01
   5    0.279419250939370656E+02
   6    0.810586108230567606E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
