Global Evidence:    0.992301740850652152E+02  +/-    0.361615399598368692E-01

Dim No.       Mean        Sigma
   1    0.391868044621895339E+00    0.174334746183474110E+00
   2    0.202538627571303875E+01    0.384276055539077122E+00
   3   -0.124783259690690884E+01    0.101152134286090711E+01
   4    0.360000000000000187E+01                         NaN
   5    0.801064325666220078E+01    0.165334302543319978E+01
   6    0.346751476060532968E+04    0.656721370454303724E+03
   7   -0.650000000000002909E+00                         NaN
   8   -0.300000000000000444E+01                         NaN
   9    0.520500000000000043E+02    0.150789149292391754E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.399594915320815869E+00
   2    0.190525452815766494E+01
   3   -0.562644944428924987E-03
   4    0.360000000000000009E+01
   5    0.731715598433097103E+01
   6    0.401415932504991770E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.346610738666943141E+00
   2    0.216909471197272374E+01
   3   -0.249843845853950297E+01
   4    0.360000000000000009E+01
   5    0.949350365389648942E+01
   6    0.331936149505462390E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
