Global Evidence:    0.979213884536933961E+02  +/-    0.516965016564094187E-01

Dim No.       Mean        Sigma
   1    0.501963630593073251E+00    0.202905864042207285E+00
   2    0.173419903251627527E+01    0.366085283355614466E+00
   3   -0.258661003034528481E+01    0.175254257172698980E+01
   4    0.622732366884275823E+01    0.187460663764945656E+01
   5    0.143039944903206084E+02    0.700530566264601617E+01
   6    0.106822579941010772E+05    0.605720892587722028E+04
   7   -0.649999999999995914E+00    0.670552253723144531E-07
   8   -0.299999999999998446E+01    0.273142796454181661E-06
   9    0.520499999999997200E+02    0.437028474326690658E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.488126390227221429E+00
   2    0.167278219813220419E+01
   3   -0.588738874173514493E+01
   4    0.679431894966886052E+01
   5    0.151454764991895328E+02
   6    0.903397233688985034E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.608336726470320222E+00
   2    0.166258301976112000E+01
   3   -0.302491101597384393E+01
   4    0.604063101326954666E+01
   5    0.156087693785849346E+02
   6    0.849727684635101105E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
