Global Evidence:    0.993896998590358152E+02  +/-    0.442803168358607488E-01

Dim No.       Mean        Sigma
   1    0.520720891392384977E+00    0.205364954413455980E+00
   2    0.168823742501223450E+01    0.347521594044545357E+00
   3   -0.278911542113788524E+01    0.174910402433462586E+01
   4    0.681894815368895468E+01    0.180976593572802402E+01
   5    0.158565701484521124E+02    0.762108407379832453E+01
   6    0.107899438816174679E+05    0.615005102727633403E+04
   7   -0.650000000000000022E+00    0.357317292937093907E-07
   8   -0.299999999999998934E+01    0.210734242554470167E-06
   9    0.520500000000001393E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.472842612328967349E+00
   2    0.170519251007869621E+01
   3   -0.576076914380825222E+01
   4    0.670749932568995622E+01
   5    0.153841978827382455E+02
   6    0.941454846443000497E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.864257192274758723E+00
   2    0.120685204324462125E+01
   3   -0.130644947829640312E+01
   4    0.918261377041221039E+01
   5    0.142226336360001167E+02
   6    0.522897702567764827E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
