Global Evidence:    0.978960219132696352E+02  +/-    0.517521763381977584E-01

Dim No.       Mean        Sigma
   1    0.496938989550829380E+00    0.202547412167396523E+00
   2    0.174183330591275420E+01    0.369192839824338259E+00
   3   -0.260290787616508545E+01    0.176745725272029430E+01
   4    0.619824501249036874E+01    0.187108884741062287E+01
   5    0.142909596369473935E+02    0.712204547193262538E+01
   6    0.107864533338181318E+05    0.613692344502646665E+04
   7   -0.649999999999996581E+00    0.788495335300144767E-07
   8   -0.299999999999999734E+01    0.730004829997771347E-07
   9    0.520499999999999758E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.529706816935222591E+00
   2    0.160545945128104783E+01
   3   -0.559111679437380449E+01
   4    0.664571296507262055E+01
   5    0.138780140574513453E+02
   6    0.795905303531321806E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.347391646526134468E+00
   2    0.181668856767028930E+01
   3   -0.476561514331337932E+01
   4    0.783644726034146899E+01
   5    0.181932895675583381E+02
   6    0.135149436088920938E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
