Global Evidence:    0.975635975023892286E+02  +/-    0.535043918162953491E-01

Dim No.       Mean        Sigma
   1    0.493446353464883192E+00    0.220402792424036265E+00
   2    0.194898495236674485E+01    0.984887808433145162E+00
   3    0.121767320829726233E+01    0.165149803926575434E+01
   4   -0.439268188177125385E+01    0.295491994706731997E+01
   5    0.148118116431723634E+01    0.219274309470256501E+01
   6    0.675041652348289478E+01    0.174924055587086102E+01
   7    0.329254268987983556E+01    0.498474190612795098E+01
   8    0.445342075129787463E+04    0.119293334283288527E+04
   9   -0.650000000000002243E+00                         NaN
  10   -0.299999999999998535E+01    0.285853834349675126E-06
  11    0.520499999999999545E+02    0.404609745704582669E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.229331724641928247E+00
   2    0.327862090142449691E+01
   3    0.164646991956333189E+01
   4   -0.867187295675410041E+01
   5    0.618704927760065471E+00
   6    0.663398096593881714E+01
   7    0.111236084559424264E+01
   8    0.407048789399228826E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.312653331386683830E+00
   2    0.111085619680240688E+01
   3    0.197498215554154477E+01
   4   -0.800669082249094011E+01
   5    0.278639030220396051E-01
   6    0.600087254608645360E+01
   7    0.322345648593392597E+00
   8    0.370356152790279475E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
