Global Evidence:    0.991171260995048584E+02  +/-    0.456150778042905616E-01

Dim No.       Mean        Sigma
   1    0.516351830163549352E+00    0.215737155436855704E+00
   2    0.170702635234349720E+01    0.425472435309173724E+00
   3   -0.749492653899930666E-01    0.292067687862056813E+01
   4   -0.490153872843939897E+01    0.289958755390016121E+01
   5    0.531626105576618269E+01    0.205763042025961829E+01
   6    0.781844903689385706E+01    0.148336407820213334E+01
   7    0.114826369772918007E+02    0.639009749511532110E+01
   8    0.109177503906700622E+05    0.659786048767421198E+04
   9   -0.649999999999995248E+00    0.737569848940645557E-07
  10   -0.299999999999998890E+01    0.238418579101562500E-06
  11    0.520499999999997627E+02    0.398950589434659749E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.416380370798389188E+00
   2    0.188546736502807954E+01
   3    0.617576744679592338E+00
   4   -0.601524675331299719E+01
   5    0.339489417755181666E+01
   6    0.667133166072929296E+01
   7    0.678810443615294368E+01
   8    0.929183494804461407E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.199011042332637139E+00
   2    0.253410286404723850E+01
   3    0.113073958228459759E+01
   4   -0.972841297381071968E+01
   5    0.313186594482071490E+01
   6    0.810559012519165378E+01
   7    0.724861581151481005E+01
   8    0.272491407170604107E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
