Global Evidence:    0.984510786339003090E+02  +/-    0.411363087044423065E-01

Dim No.       Mean        Sigma
   1    0.539261696239593524E+00    0.227357974052391304E+00
   2    0.163411544012698262E+01    0.383121135920878042E+00
   3   -0.833921198146636455E+00    0.244813042918659463E+01
   4   -0.500823867398629030E+01    0.289366564373516111E+01
   5    0.576126827045518564E+01    0.220472775998526016E+01
   6    0.795977430816149578E+01    0.116461712263378558E+01
   7    0.122503777807227543E+02    0.724667176823626225E+01
   8    0.145471550658915803E+05    0.303566442624469164E+05
   9   -0.649999999999999800E+00    0.379906558513103760E-07
  10   -0.299999999999999556E+01    0.309714819354214193E-06
  11    0.520499999999999758E+02    0.293942165516327668E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.460784436966771849E+00
   2    0.147110042192008628E+01
   3    0.539374188406574362E+00
   4   -0.765181074145038664E+00
   5    0.219262587403163156E+01
   6    0.679813840973884620E+01
   7    0.254185153428351374E+01
   8    0.781242928875947200E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.664329393799076628E+00
   2    0.128341956376905619E+01
   3   -0.136525364159524276E+01
   4   -0.231119499151171581E+01
   5    0.735609889343829693E+01
   6    0.818140193537520410E+01
   7    0.101321331803581458E+02
   8    0.507859530583150536E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
