Global Evidence:    0.994055063553869758E+02  +/-    0.361181298693110664E-01

Dim No.       Mean        Sigma
   1    0.519578486501174996E+00    0.204580672820961401E+00
   2    0.169038391919212905E+01    0.344986688454013812E+00
   3   -0.278717553641509497E+01    0.175411230517272498E+01
   4    0.674880495712787010E+01    0.181632372270496290E+01
   5    0.156065804072249783E+02    0.741733376134235289E+01
   6    0.106865200393197738E+05    0.602730193022838830E+04
   7   -0.649999999999997358E+00    0.788495335300144767E-07
   8   -0.300000000000002842E+01                         NaN
   9    0.520500000000002387E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.506264831791358838E+00
   2    0.165022972972509274E+01
   3   -0.596060419486598025E+01
   4    0.665139854855482149E+01
   5    0.145463201333112533E+02
   6    0.850502625197233283E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.199579411432646486E+00
   2    0.258046262900812318E+01
   3   -0.139889775057551269E+01
   4    0.349013755531917091E+01
   5    0.962160177263529093E+01
   6    0.184994510887503857E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
