Global Evidence:    0.988996390776025578E+02  +/-    0.371816049644202798E-01

Dim No.       Mean        Sigma
   1    0.535902528611784001E+00    0.240204019986165251E+00
   2    0.168688202217136984E+01    0.490006680420644158E+00
   3   -0.542278286667255305E+00    0.268304409680698397E+01
   4   -0.481875037000008888E+01    0.290604435063449262E+01
   5    0.464620943864820557E+01    0.194701587899312245E+01
   6    0.741538593915838007E+01    0.165981162439949004E+01
   7    0.860275334101380018E+01    0.432177493283486758E+01
   8    0.863613515793082297E+04    0.517896320207230929E+04
   9   -0.650000000000002354E+00                         NaN
  10   -0.300000000000000488E+01    0.197686242482388008E-06
  11    0.520499999999999901E+02    0.178416127527901713E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.452883923933128041E+00
   2    0.179086010213151536E+01
   3    0.123054849186287285E+00
   4   -0.916799548586046420E+01
   5    0.340867234926664553E+01
   6    0.671226767836630778E+01
   7    0.645434356569551948E+01
   8    0.728796923993645942E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.492948613036046202E+00
   2    0.148402696322122241E+01
   3    0.429504131149440482E+01
   4   -0.445484772546915853E+01
   5    0.771032123516340029E+01
   6    0.789173737240112594E+01
   7    0.122415865267214858E+02
   8    0.776647819816065203E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
