Global Evidence:    0.993661514011083966E+02  +/-    0.362224120555992499E-01

Dim No.       Mean        Sigma
   1    0.518952623317102568E+00    0.202150026569522995E+00
   2    0.168806898100144331E+01    0.344403260306571368E+00
   3   -0.282494236524002007E+01    0.176224205280841750E+01
   4    0.679978135507512516E+01    0.179915389725647268E+01
   5    0.157443947854213135E+02    0.743171166930795835E+01
   6    0.467162023366327412E+04    0.121859319932516814E+04
   7   -0.650000000000005018E+00                         NaN
   8   -0.300000000000001732E+01                         NaN
   9    0.520500000000000540E+02    0.150789149292391754E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.512376044058237001E+00
   2    0.163263838131728667E+01
   3   -0.584115266185988791E+01
   4    0.667817786492076060E+01
   5    0.142854945311782284E+02
   6    0.426166015967497515E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.870223506519638312E+00
   2    0.122124833520531628E+01
   3   -0.124026838565539421E+00
   4    0.668006979591434824E+01
   5    0.104925620553904135E+02
   6    0.439168611196546954E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
