Global Evidence:    0.991758594234433417E+02  +/-    0.370242240005480561E-01

Dim No.       Mean        Sigma
   1    0.505911181379096964E+00    0.216036052637164744E+00
   2    0.173791996905079205E+01    0.458521266506996039E+00
   3   -0.461066818817407100E-02    0.287278943794315733E+01
   4   -0.493715676167995543E+01    0.289867429160821732E+01
   5    0.521012314965832068E+01    0.212616535191746481E+01
   6    0.778292016834629408E+01    0.148814317676115326E+01
   7    0.112884312746003630E+02    0.648365175458403797E+01
   8    0.112131101111330318E+05    0.673383088218908324E+04
   9   -0.649999999999995470E+00    0.805903511225578838E-07
  10   -0.299999999999998668E+01    0.329177409922696982E-06
  11    0.520499999999998266E+02    0.953674316406250000E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.159979481553607722E+00
   2    0.380487907584831175E+01
   3    0.167903574571206349E+01
   4   -0.996281204458770908E+01
   5    0.706943334437647009E+00
   6    0.658239141580021592E+01
   7    0.122357302803818802E+01
   8    0.258937033167328664E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.792578090230587340E+00
   2    0.135078811645507812E+01
   3    0.246024084091186523E+01
   4   -0.266050338745117188E+01
   5    0.677344322204589844E+01
   6    0.826751768589019775E+01
   7    0.126494633572115269E+02
   8    0.670877199928992195E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
