Global Evidence:    0.993722913985920968E+02  +/-    0.362463834406591759E-01

Dim No.       Mean        Sigma
   1    0.517961165580617444E+00    0.202299643291750375E+00
   2    0.168976797836693904E+01    0.343452052861327795E+00
   3   -0.277918889628142063E+01    0.175243559171121954E+01
   4    0.679314440858782742E+01    0.178310213968110576E+01
   5    0.157875533104023926E+02    0.746514015349597138E+01
   6    0.108148100271419808E+05    0.618487503305861446E+04
   7   -0.649999999999998468E+00                         NaN
   8   -0.299999999999996847E+01    0.372230887317562002E-06
   9    0.520499999999997343E+02    0.415696997026507757E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.512008747515595442E+00
   2    0.164556674210117060E+01
   3   -0.566222479933370781E+01
   4    0.668466606847639078E+01
   5    0.146768355225365443E+02
   6    0.853014452807123598E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.369463342441438858E+00
   2    0.179203535563968730E+01
   3   -0.235851029695999248E+01
   4    0.893923348216489799E+01
   5    0.226393003227353162E+02
   6    0.144187798361325804E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
