Global Evidence:    0.841893835934668431E+02  +/-    0.276381446437087112E-01

Dim No.       Mean        Sigma
   1    0.331082875470761151E+00    0.403926160757369368E-01
   2    0.327999999999998515E+01    0.334530239114815725E-06
   3   -0.259999999999999176E+00                         NaN
   4   -0.800000000000000355E+01                         NaN
   5    0.103999999999999670E+01                         NaN
   6    0.448000000000000753E+01                         NaN
   7    0.343181341500027592E+01    0.418686473948723159E+00
   8    0.176324306315886611E+04    0.215118344605194977E+03
   9   -0.650000000000000133E+00                         NaN
  10   -0.299999999999998934E+01    0.210734242554470167E-06
  11    0.520500000000001108E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.330897748683934234E+00
   2    0.327999999999999980E+01
   3   -0.260000000000000009E+00
   4   -0.800000000000000000E+01
   5    0.104000000000000004E+01
   6    0.448000000000000043E+01
   7    0.342989449790252587E+01
   8    0.176225713622980561E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.373188124570821733E+00
   2    0.327999999999999980E+01
   3   -0.260000000000000009E+00
   4   -0.800000000000000000E+01
   5    0.104000000000000004E+01
   6    0.448000000000000043E+01
   7    0.386825205139321104E+01
   8    0.198748235156269789E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
