Global Evidence:    0.996399027605713741E+02  +/-    0.194513813978278410E+00

Dim No.       Mean        Sigma
   1    0.400722832251421246E+00    0.178107522336068858E+00
   2    0.198484158209617845E+01    0.390750028647323167E+00
   3   -0.170136934067966017E+01    0.119695978508074852E+01
   4    0.360000000000000986E+01                         NaN
   5    0.771720252934228146E+01    0.168374855416543756E+01
   6    0.316041332001270894E+04    0.628542000221800890E+03
   7   -0.650000000000000688E+00                         NaN
   8   -0.300000000000000222E+01                         NaN
   9    0.520500000000001251E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.432230976512077592E+00
   2    0.181843133746246499E+01
   3   -0.698023320558463389E+00
   4    0.360000000000000009E+01
   5    0.693258971218986719E+01
   6    0.333266246269512203E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.194751974556871127E+00
   2    0.261050987243652344E+01
   3   -0.146994960308074951E+01
   4    0.360000000000000009E+01
   5    0.104620726679235787E+02
   6    0.390855673192585664E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
