Global Evidence:    0.979439370597625185E+02  +/-    0.515914987665344604E-01

Dim No.       Mean        Sigma
   1    0.503142257762790646E+00    0.207684329857254907E+00
   2    0.173687521964195168E+01    0.380325915544102999E+00
   3   -0.257051744100076629E+01    0.176021343007821862E+01
   4    0.613109130901587029E+01    0.187900189653918193E+01
   5    0.138742415038570641E+02    0.674619721789455351E+01
   6    0.439724311874742216E+04    0.115842160840753309E+04
   7   -0.649999999999999578E+00                         NaN
   8   -0.300000000000000488E+01                         NaN
   9    0.520499999999997556E+02    0.363148360531993325E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.509309925666058483E+00
   2    0.164071219584340433E+01
   3   -0.555966973506925832E+01
   4    0.665014041901118436E+01
   5    0.143492536530639097E+02
   6    0.429702022069587201E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.353726597662641584E+00
   2    0.178842570134935319E+01
   3   -0.290496094875451760E+01
   4    0.613694113415576759E+01
   5    0.118880526312542987E+02
   6    0.375808892137372686E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
