Global Evidence:    0.975069891763088492E+02  +/-    0.537595491758965927E-01

Dim No.       Mean        Sigma
   1    0.493081681293686069E+00    0.219484414774835407E+00
   2    0.193375340482989921E+01    0.970099666251824755E+00
   3    0.118581963437571658E+01    0.168136731705965081E+01
   4   -0.442131485190454043E+01    0.296806401274633957E+01
   5    0.155781957135094862E+01    0.221575502169380334E+01
   6    0.673796703448118350E+01    0.177196852145063599E+01
   7    0.341497885199004569E+01    0.496483039749058097E+01
   8    0.439445409738228682E+04    0.116072549530041806E+04
   9   -0.650000000000001243E+00                         NaN
  10   -0.300000000000000666E+01    0.942432183077448464E-07
  11    0.520500000000000824E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.244186444017817417E+00
   2    0.324188854597537368E+01
   3    0.153620023076757484E+01
   4   -0.902905360995497475E+01
   5    0.684550859194133055E+00
   6    0.657668502907761177E+01
   7    0.132421300693884958E+01
   8    0.397463739606577246E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.536133805131210339E+00
   2    0.126450412981031013E+01
   3    0.179815743498677350E+01
   4   -0.215784061174770780E+01
   5    0.575257973870219527E-01
   6    0.543900316287488383E+01
   7    0.575425659686344071E+00
   8    0.514033128774078432E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
