Global Evidence:    0.992345762939914096E+02  +/-    0.450550479507383153E-01

Dim No.       Mean        Sigma
   1    0.513401911193363314E+00    0.214616205135691573E+00
   2    0.172497520813779448E+01    0.440909147687023661E+00
   3   -0.139988506097624810E+00    0.287996182344582152E+01
   4   -0.500986626370096833E+01    0.288759420725577476E+01
   5    0.521114307530203202E+01    0.204887376648361341E+01
   6    0.777932427829035422E+01    0.146189250200887777E+01
   7    0.112048421675256051E+02    0.631248298081825965E+01
   8    0.457580182452573081E+04    0.124321797099425839E+04
   9   -0.649999999999997469E+00    0.210734242554470173E-07
  10   -0.299999999999999067E+01                         NaN
  11    0.520499999999995424E+02    0.509122765161099969E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.419818518161905518E+00
   2    0.185897919702479664E+01
   3    0.836510639698179403E+00
   4   -0.916691999039984218E+01
   5    0.355340929855050325E+01
   6    0.680425884674517967E+01
   7    0.702903657074187205E+01
   8    0.395500668631179451E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.656290690918704622E+00
   2    0.151912556641343111E+01
   3   -0.281579482361904043E+01
   4   -0.490783154086844853E+01
   5    0.488233072532673340E+01
   6    0.604830509538038896E+01
   7    0.968586631577578672E+01
   8    0.351563200356301604E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
