Global Evidence:    0.990754157193445621E+02  +/-    0.442933657970012440E-01

Dim No.       Mean        Sigma
   1    0.557045361210856571E+00    0.232065550905821177E+00
   2    0.162225408179419661E+01    0.402719569929911481E+00
   3   -0.264624063942212784E+01    0.172907569101074787E+01
   4    0.594265090065272616E+01    0.195287676366404606E+01
   5    0.112454083853516309E+02    0.487242099609253820E+01
   6    0.382159263382025483E+04    0.922168495581672460E+03
   7   -0.649999999999997802E+00    0.482852809012521832E-07
   8   -0.299999999999998046E+01    0.309714819354214193E-06
   9    0.520499999999996490E+02    0.500111030659747859E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.404878119311529783E+00
   2    0.186431513961993311E+01
   3   -0.333472911977841235E+00
   4    0.343900815856636566E+01
   5    0.651732368033551701E+01
   6    0.341401358674866970E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.859347135900180525E+00
   2    0.111226172892676733E+01
   3   -0.385935387364556437E+01
   4    0.893269325401660197E+01
   5    0.110450611686300011E+02
   6    0.378501687144076277E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
