Global Evidence:    0.988709166434851738E+02  +/-    0.457384339939332987E-01

Dim No.       Mean        Sigma
   1    0.535188053236572037E+00    0.239002586110688781E+00
   2    0.168801803898794245E+01    0.484797588867014351E+00
   3   -0.594180298518040773E+00    0.265896992632432871E+01
   4   -0.484088340933032413E+01    0.289180145396327504E+01
   5    0.468788787088590819E+01    0.191810512682551604E+01
   6    0.744360937748606766E+01    0.162651245626692265E+01
   7    0.867571625442747596E+01    0.424252222391385736E+01
   8    0.375245446021775024E+04    0.896958348134740731E+03
   9   -0.649999999999998579E+00    0.516191365590356944E-07
  10   -0.299999999999998890E+01    0.206476546236142778E-06
  11    0.520499999999999332E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.383011754402320770E+00
   2    0.190578016226829194E+01
   3    0.954163446001992099E-01
   4   -0.969720809366321035E+01
   5    0.324627488312748014E+01
   6    0.667535099820378797E+01
   7    0.602639356067846865E+01
   8    0.309586352516042643E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.519384510956612200E+00
   2    0.176658069779769145E+01
   3   -0.425061795986250068E+01
   4   -0.441262513626521446E+01
   5    0.446256380303410793E+01
   6    0.961790770656539529E+01
   7    0.104270020139247439E+02
   8    0.342962044901338413E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
