Global Evidence:    0.246637898714700952E+03  +/-    0.397345836979397862E-01

Dim No.       Mean        Sigma
   1    0.107305914200238961E+01    0.293794001448459519E+00
   2    0.152920216970054113E+01    0.244179947640409761E+00
   3   -0.307851614388801931E+01    0.173478889928565616E+01
   4    0.639426740220878198E+01    0.151838571342877637E+01
   5    0.222076937047371707E+02    0.787698415187475920E+01
   6    0.733924895361118433E+04    0.146722589975248252E+04
   7   -0.649999999999997358E+00    0.316101363831705210E-07
   8   -0.299999999999999156E+01    0.188486436615489693E-06
   9    0.520499999999995993E+02    0.410190833427554449E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100139257312609398E+01
   2    0.159617917421696331E+01
   3   -0.595579735086666240E+01
   4    0.548903904874040727E+01
   5    0.198148042588406028E+02
   6    0.630330707795430772E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.126039183094708052E+01
   2    0.122040178249326914E+01
   3   -0.505991108565305758E+01
   4    0.623392563338236982E+01
   5    0.141022103925358024E+02
   6    0.522056886571901305E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
