Global Evidence:    0.233659668850012054E+03  +/-    0.389203746052173699E-01

Dim No.       Mean        Sigma
   1    0.120221021816549545E+01    0.315276039592718549E+00
   2    0.137845528183722554E+01    0.253372749589611646E+00
   3   -0.298102813503272479E+01    0.174623819418454573E+01
   4    0.627897693593894157E+01    0.170838995042643704E+01
   5    0.178746366769925160E+02    0.652556496719056955E+01
   6    0.635103994894459629E+04    0.131303621736846935E+04
   7   -0.649999999999997802E+00    0.666400187462505640E-07
   8   -0.299999999999999023E+01                         NaN
   9    0.520499999999999261E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.114627883011960807E+01
   2    0.139166407703357642E+01
   3   -0.588428457908195668E+01
   4    0.544714594300848454E+01
   5    0.153340879041827112E+02
   6    0.529431321794773794E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.173406664723932180E+01
   2    0.104808712005615234E+01
   3   -0.112777304649353027E+01
   4    0.910234868526458740E+01
   5    0.195788832975497016E+02
   6    0.694806280797916406E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
