Global Evidence:    0.979202356274625458E+02  +/-    0.517278518685434160E-01

Dim No.       Mean        Sigma
   1    0.502536897414613937E+00    0.201631713571275212E+00
   2    0.173225206092675954E+01    0.368071225072851560E+00
   3   -0.258452199989465425E+01    0.175103360014688647E+01
   4    0.622701794374303308E+01    0.187049575628228637E+01
   5    0.142524539133421566E+02    0.698354358219754445E+01
   6    0.446341213488238373E+04    0.118278758009001490E+04
   7   -0.650000000000002798E+00                         NaN
   8   -0.300000000000000133E+01                         NaN
   9    0.520500000000002316E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.481736940382839152E+00
   2    0.169687007204349727E+01
   3   -0.554950637642771127E+01
   4    0.670616854195497680E+01
   5    0.154049277189834957E+02
   6    0.449150180354603435E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.643754188143892958E+00
   2    0.159194561037565707E+01
   3   -0.489863952140970138E+01
   4    0.575383016273779457E+01
   5    0.134684855292075021E+02
   6    0.437074681452110053E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
