Global Evidence:    0.994142941835447260E+02  +/-    0.441257761647053798E-01

Dim No.       Mean        Sigma
   1    0.520777460708336637E+00    0.203074685738453192E+00
   2    0.168560664072020705E+01    0.343563764464067223E+00
   3   -0.281467638805405684E+01    0.175911027825738553E+01
   4    0.680072955439586213E+01    0.180122553854809975E+01
   5    0.157110730242114425E+02    0.744418657674950612E+01
   6    0.466710920332080877E+04    0.121539075674963533E+04
   7   -0.650000000000000910E+00                         NaN
   8   -0.300000000000000533E+01                         NaN
   9    0.520499999999998195E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.513034924306200457E+00
   2    0.165595200954020472E+01
   3   -0.599667837887605160E+01
   4    0.670024883946789096E+01
   5    0.150714927501995959E+02
   6    0.443368409971275833E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.545518131135119488E+00
   2    0.157523865442067290E+01
   3   -0.497079160220194893E+01
   4    0.509309985964480205E+01
   5    0.939976098634449819E+01
   6    0.313524724119011398E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
