Global Evidence:    0.841414931294161050E+02  +/-    0.279397058343281539E-01

Dim No.       Mean        Sigma
   1    0.330759766865569349E+00    0.402769209424861871E-01
   2    0.328000000000001979E+01                         NaN
   3   -0.260000000000000231E+00                         NaN
   4   -0.799999999999998490E+01    0.347551816394645020E-06
   5    0.104000000000000092E+01                         NaN
   6    0.447999999999999510E+01                         NaN
   7    0.342846425825447287E+01    0.417487245176279054E+00
   8    0.176152228854634541E+04    0.214502188783599109E+03
   9   -0.650000000000000022E+00    0.394247667650072383E-07
  10   -0.299999999999999334E+01    0.842936970217880693E-07
  11    0.520500000000002174E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.330897338613807157E+00
   2    0.327999999999999980E+01
   3   -0.260000000000000009E+00
   4   -0.800000000000000000E+01
   5    0.104000000000000004E+01
   6    0.448000000000000043E+01
   7    0.342989024735298820E+01
   8    0.176225495232553112E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.374181084032206346E+00
   2    0.327999999999999980E+01
   3   -0.260000000000000009E+00
   4   -0.800000000000000000E+01
   5    0.104000000000000004E+01
   6    0.448000000000000043E+01
   7    0.387854449432093995E+01
   8    0.199277054075035971E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
