Global Evidence:    0.990632686378394567E+02  +/-    0.460431709633159492E-01

Dim No.       Mean        Sigma
   1    0.513093298753876437E+00    0.214014858610483832E+00
   2    0.171418238493131048E+01    0.421957953855601475E+00
   3   -0.458670962323907486E-01    0.288904452877096318E+01
   4   -0.493337246114347661E+01    0.289574854251457570E+01
   5    0.526231421020284085E+01    0.203621223384271666E+01
   6    0.780858978037970530E+01    0.144453755741240730E+01
   7    0.113779567858300155E+02    0.649620544570729042E+01
   8    0.464241738229330258E+04    0.127256669508105233E+04
   9   -0.650000000000001021E+00                         NaN
  10   -0.300000000000000488E+01                         NaN
  11    0.520499999999997485E+02    0.387384338599966089E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.411091654904764958E+00
   2    0.187843860926936257E+01
   3    0.978962750858332953E+00
   4   -0.880496136074853197E+01
   5    0.340330607036423816E+01
   6    0.660017083889269784E+01
   7    0.665637458107802260E+01
   8    0.391896203492733093E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.808436405463895502E+00
   2    0.134295848916949501E+01
   3    0.499441491270324178E+01
   4   -0.703895091512243898E+01
   5    0.527446025467401647E+01
   6    0.711416610427242979E+01
   7    0.952265000935644146E+01
   8    0.596669560935902700E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
