Global Evidence:    0.994188792563657131E+02  +/-    0.361812190203594369E-01

Dim No.       Mean        Sigma
   1    0.522055092425130596E+00    0.202920151485302097E+00
   2    0.168488644563829237E+01    0.344847566500107339E+00
   3   -0.277719761918147912E+01    0.175544258262089214E+01
   4    0.676411951116749055E+01    0.181077510252038687E+01
   5    0.155145066076061600E+02    0.725969580668532100E+01
   6    0.105785707029842124E+05    0.592663883544379132E+04
   7   -0.649999999999994804E+00    0.434439770493306275E-07
   8   -0.299999999999998312E+01    0.295027939576258223E-06
   9    0.520499999999996774E+02    0.404609745704582669E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.528435159464438087E+00
   2    0.162361593178043040E+01
   3   -0.588141360624650122E+01
   4    0.667476008963764578E+01
   5    0.144542988386941484E+02
   6    0.818680376047206209E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.363014147020191413E+00
   2    0.181782458918162648E+01
   3   -0.446291389300473185E+00
   4    0.864179728478892883E+01
   5    0.223331588869038171E+02
   6    0.151277466748170154E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
