Global Evidence:    0.994051306420738996E+02  +/-    0.361283696790407963E-01

Dim No.       Mean        Sigma
   1    0.519712100017190259E+00    0.202967000489816085E+00
   2    0.168804622037107799E+01    0.346140954343222729E+00
   3   -0.276926515670602003E+01    0.175657401494851095E+01
   4    0.674121904877802347E+01    0.181619956735253574E+01
   5    0.154917711273424317E+02    0.728057702899634140E+01
   6    0.106463757691021583E+05    0.602827197745756166E+04
   7   -0.649999999999999356E+00                         NaN
   8   -0.299999999999999645E+01    0.126440545532682084E-06
   9    0.520499999999997414E+02    0.490933901833868065E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.526323832120605739E+00
   2    0.162324263245288036E+01
   3   -0.539765202967790358E+01
   4    0.670314129588231911E+01
   5    0.144720519621187513E+02
   6    0.829158975197423206E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.733759371736379507E+00
   2    0.137697461979948610E+01
   3   -0.133790641689579015E+01
   4    0.432165797763176851E+01
   5    0.733334127791289525E+01
   6    0.453589650605209499E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
