Global Evidence:    0.975224393258876034E+02  +/-    0.438527500740102522E-01

Dim No.       Mean        Sigma
   1    0.491625428524129771E+00    0.223401169944828892E+00
   2    0.195139529711135129E+01    0.989809565594667595E+00
   3    0.124562708481547757E+01    0.157998018541444973E+01
   4   -0.442169253923022332E+01    0.295059203599484032E+01
   5    0.144605045399124710E+01    0.214832921129646914E+01
   6    0.667947766572256185E+01    0.175775544095816594E+01
   7    0.317356037551599313E+01    0.472527723778408770E+01
   8    0.111430195755737404E+05    0.676382778060095461E+04
   9   -0.650000000000002243E+00                         NaN
  10   -0.299999999999999423E+01    0.168587394043576139E-06
  11    0.520500000000002530E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.198561091326497574E+00
   2    0.349732263989389836E+01
   3    0.160006258441697469E+01
   4   -0.997421990185895169E+01
   5    0.717574317628538072E+00
   6    0.665079448754868086E+01
   7    0.131664768307194402E+01
   8    0.207126005894351620E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.927822913829235318E+00
   2    0.750008033568995924E+00
   3    0.118280716230219518E+01
   4   -0.637433159995228404E+01
   5    0.526319487448073872E-01
   6    0.625649299890647015E+01
   7    0.964212335410043919E+00
   8    0.375054346972674148E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
