Global Evidence:    0.990758117368360445E+02  +/-    0.361895348709245016E-01

Dim No.       Mean        Sigma
   1    0.560037056749488560E+00    0.232631507271874122E+00
   2    0.161565376053150933E+01    0.398705321532337120E+00
   3   -0.264410252032064275E+01    0.172613549222194052E+01
   4    0.592032357750574079E+01    0.192971352017382891E+01
   5    0.111421472139600208E+02    0.480682229565636820E+01
   6    0.817262276488330008E+04    0.449920831840092796E+04
   7   -0.650000000000003686E+00                         NaN
   8   -0.300000000000000488E+01                         NaN
   9    0.520499999999997698E+02    0.500111030659747859E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.394344094732953510E+00
   2    0.191701165061334788E+01
   3   -0.623152919958008589E+00
   4    0.345333009125295254E+01
   5    0.690894647486700375E+01
   6    0.855126623294882847E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.706048946257629151E+00
   2    0.149590221825779812E+01
   3   -0.456346261009172860E+01
   4    0.607563111350016527E+01
   5    0.131825804807806719E+02
   6    0.625250842824237407E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
