Global Evidence:    0.990166681124986354E+02  +/-    0.364383444317677649E-01

Dim No.       Mean        Sigma
   1    0.564668195471176859E+00    0.233490518481544923E+00
   2    0.160854198723779440E+01    0.398592352484906043E+00
   3   -0.265864131691524852E+01    0.174164970996237312E+01
   4    0.598710584570675053E+01    0.194996946078493916E+01
   5    0.112503740366731151E+02    0.485229362548595677E+01
   6    0.816274887545598267E+04    0.450988588174027609E+04
   7   -0.650000000000002354E+00                         NaN
   8   -0.300000000000002398E+01                         NaN
   9    0.520500000000000469E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.356466246230710770E+00
   2    0.201672072600576824E+01
   3   -0.614914094586843873E+00
   4    0.342738254468123849E+01
   5    0.716335637212197440E+01
   6    0.971457254782430937E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.910385974387277752E+00
   2    0.120261899369986569E+01
   3   -0.570841842872198058E+01
   4    0.561399067497889259E+01
   5    0.882938879666628829E+01
   6    0.362544560809100130E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
