Global Evidence:    0.973774671634810574E+02  +/-    0.435395823048390571E-01

Dim No.       Mean        Sigma
   1    0.512544284156108532E+00    0.238760062191947287E+00
   2    0.192249301866687783E+01    0.988133711474302179E+00
   3    0.103765213059727812E+01    0.168571709188858487E+01
   4   -0.397768769197194816E+01    0.290375376544364228E+01
   5    0.140169003480171028E+01    0.196089435540124946E+01
   6    0.597114192986850778E+01    0.190564588664002765E+01
   7    0.284654606600336368E+01    0.369960283255923938E+01
   8    0.889659106739429080E+04    0.539459067748785128E+04
   9   -0.650000000000006795E+00                         NaN
  10   -0.299999999999998490E+01    0.379321636598046279E-06
  11    0.520499999999999545E+02    0.398950589434659749E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.432405468972287654E+00
   2    0.178138517060401513E+01
   3    0.278779069161664061E+00
   4   -0.954118100209207576E+01
   5    0.365327854768273452E+01
   6    0.656214670369850950E+01
   7    0.669001741213993117E+01
   8    0.759929095787265851E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.472933360606394126E+00
   2    0.174829090658185016E+01
   3   -0.333068152973851417E+01
   4   -0.483153197184671956E+01
   5    0.354951806136469195E+01
   6    0.906877421775432424E+01
   7    0.668520707959481353E+01
   8    0.499901829989720318E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
