Global Evidence:    0.988998238795218185E+02  +/-    0.372076423071268092E-01

Dim No.       Mean        Sigma
   1    0.540651013142271153E+00    0.243331368801112113E+00
   2    0.168375790465427144E+01    0.498201887239504204E+00
   3   -0.469725325685886208E+00    0.265631893203811398E+01
   4   -0.486790788007690090E+01    0.291308056018996187E+01
   5    0.463922409320710560E+01    0.198917413871678850E+01
   6    0.744128222286292651E+01    0.164995769071073517E+01
   7    0.855792238083584422E+01    0.435348866452188688E+01
   8    0.860752824510291612E+04    0.512909364185335562E+04
   9   -0.649999999999998468E+00                         NaN
  10   -0.299999999999995115E+01    0.397612573627422279E-06
  11    0.520499999999994429E+02    0.677712936570734746E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.381824341948887980E+00
   2    0.194324037568161723E+01
   3   -0.281925882864940469E+00
   4   -0.771801294092885648E+01
   5    0.340402247108300671E+01
   6    0.669155694655689803E+01
   7    0.680797586126536380E+01
   8    0.841045126429406810E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.898818248708485701E+00
   2    0.122084877594060903E+01
   3   -0.513877393685611494E+01
   4   -0.677738093463929303E+01
   5    0.556311957362397447E+01
   6    0.705173513340069391E+01
   7    0.893799302334644175E+01
   8    0.371559084625190553E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
