Global Evidence:    0.993600207964655766E+02  +/-    0.362333260865126752E-01

Dim No.       Mean        Sigma
   1    0.517465116043153928E+00    0.200680187697533069E+00
   2    0.168998074156884259E+01    0.341303848226045481E+00
   3   -0.281842324209870077E+01    0.175578404099917740E+01
   4    0.684951606599708640E+01    0.180267562431489381E+01
   5    0.159914793680697063E+02    0.763552617206027939E+01
   6    0.108443007585450814E+05    0.616976912985998661E+04
   7   -0.649999999999998135E+00    0.258095682795178472E-07
   8   -0.300000000000000044E+01                         NaN
   9    0.520499999999997414E+02    0.522348935609022254E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.523804237817962703E+00
   2    0.162977411698895058E+01
   3   -0.588952580124171288E+01
   4    0.670033562226045731E+01
   5    0.145874539172261031E+02
   6    0.829920413203807766E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.794650800975438831E+00
   2    0.134027628134930388E+01
   3   -0.508099507312198995E+00
   4    0.459088132770300028E+01
   5    0.798006460821821495E+01
   6    0.494004717153266029E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
