Global Evidence:    0.993892245562230414E+02  +/-    0.361393133713209108E-01

Dim No.       Mean        Sigma
   1    0.520330868445549766E+00    0.205417718363780172E+00
   2    0.168731352571497051E+01    0.346806564491983549E+00
   3   -0.277986410348205659E+01    0.175921683926747296E+01
   4    0.679000236919639111E+01    0.180422619973884757E+01
   5    0.157029157363914891E+02    0.749468372796855142E+01
   6    0.107424841986847878E+05    0.614322202972423656E+04
   7   -0.650000000000000910E+00                         NaN
   8   -0.299999999999999689E+01    0.188486436615489693E-06
   9    0.520499999999996916E+02    0.587884331032655336E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.497336814320619380E+00
   2    0.165656955233408332E+01
   3   -0.591557710880936494E+01
   4    0.676098159586871716E+01
   5    0.148203834576200073E+02
   6    0.874627600201672794E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.424049279302081417E+00
   2    0.193345173993388353E+01
   3   -0.248939908976995428E+01
   4    0.691899446399470985E+01
   5    0.231713576531770187E+02
   6    0.154745120106117611E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
