Global Evidence:    0.975160270810077918E+02  +/-    0.438659432270285671E-01

Dim No.       Mean        Sigma
   1    0.497682487092537040E+00    0.222382852672798614E+00
   2    0.193327543357018539E+01    0.100193188404694222E+01
   3    0.125679077869486111E+01    0.156637351578811068E+01
   4   -0.442959637017182217E+01    0.296611279298196928E+01
   5    0.141099819491746992E+01    0.214493587232333294E+01
   6    0.676211658192759213E+01    0.174828728556590796E+01
   7    0.309910554793141646E+01    0.477613685947780997E+01
   8    0.110757134088698949E+05    0.676062482259148419E+04
   9   -0.649999999999999356E+00    0.149011611938476562E-07
  10   -0.299999999999997558E+01    0.263206984589333765E-06
  11    0.520499999999995282E+02    0.584003863998217120E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.452012726592547986E+00
   2    0.177946220857318127E+01
   3    0.105978609449149985E+01
   4   -0.992347073543860070E+01
   5    0.366463715328261319E+01
   6    0.682640554022596824E+01
   7    0.700304281558285968E+01
   8    0.888011669420179715E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.428871186354934097E+00
   2    0.244386996023156122E+01
   3    0.120244849464772763E+01
   4   -0.854272950351870008E+00
   5    0.913569763098063481E+00
   6    0.897114119605791949E+01
   7    0.209468000586983649E+01
   8    0.115430749377080956E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
