Global Evidence:    0.991574789224630564E+02  +/-    0.371033187802001507E-01

Dim No.       Mean        Sigma
   1    0.514449452164085774E+00    0.220720480444015654E+00
   2    0.172570701243716607E+01    0.464120399166750575E+00
   3    0.350511573569146917E-01    0.290360987413188631E+01
   4   -0.497697416841617812E+01    0.291427926069602661E+01
   5    0.517554015708679493E+01    0.214304355962192483E+01
   6    0.778816510876500523E+01    0.146772892166634072E+01
   7    0.111749113117095096E+02    0.654679737608177970E+01
   8    0.110766248888789523E+05    0.674796845980586932E+04
   9   -0.649999999999998024E+00    0.572289954712138163E-07
  10   -0.299999999999998535E+01    0.323736086225516066E-06
  11    0.520500000000001677E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.459163940515152358E+00
   2    0.178674928676601996E+01
   3    0.723336538472896251E+00
   4   -0.767671739711339640E+01
   5    0.355687338770313044E+01
   6    0.677252603532914588E+01
   7    0.689986349310319547E+01
   8    0.843298411821898662E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.802116300211655253E+00
   2    0.955472238161628296E+00
   3    0.209737799112764911E+01
   4   -0.111620114888406441E+01
   5    0.153865420859326774E+01
   6    0.826323746047452445E+01
   7    0.195355121300058521E+01
   8    0.854258172410151565E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
