Global Evidence:    0.975360601612278089E+02  +/-    0.439019323276391288E-01

Dim No.       Mean        Sigma
   1    0.492090919273635352E+00    0.219988967636928906E+00
   2    0.193195822302436904E+01    0.984792184349879918E+00
   3    0.125393445028243145E+01    0.161520539921756234E+01
   4   -0.440425872660287521E+01    0.295765452181361654E+01
   5    0.147261372173213068E+01    0.216538084041622403E+01
   6    0.668576210284125860E+01    0.177141574873478991E+01
   7    0.322003548597923128E+01    0.477462958269840243E+01
   8    0.111236383469810880E+05    0.681139468732174646E+04
   9   -0.649999999999993139E+00    0.706824137308086315E-07
  10   -0.299999999999998623E+01                         NaN
  11    0.520499999999996135E+02    0.481581923406700011E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.467853238627088219E+00
   2    0.178459718673204848E+01
   3    0.103871758485737153E+01
   4   -0.701170906400819938E+01
   5    0.325890700192627047E+01
   6    0.661267888971500639E+01
   7    0.621088317697250147E+01
   8    0.854645591421115205E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.644722835893114299E+00
   2    0.668265127354512600E+00
   3    0.160620529670344148E+01
   4   -0.754847241835552296E-01
   5    0.153450092166817088E-01
   6    0.555522428873889496E+01
   7    0.651317454681393904E+00
   8    0.858976022154812745E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
