Global Evidence:    0.991998556904222539E+02  +/-    0.369824429146052083E-01

Dim No.       Mean        Sigma
   1    0.512904503689548763E+00    0.219204077817606535E+00
   2    0.172346140289212246E+01    0.445065858160329730E+00
   3   -0.424273439189616353E-01    0.287871411580535019E+01
   4   -0.499439853132948208E+01    0.289455473115785145E+01
   5    0.518050745871803286E+01    0.207107804259368411E+01
   6    0.776184447686195966E+01    0.147785858538683557E+01
   7    0.111471997683753088E+02    0.638444705799330059E+01
   8    0.109307645327815171E+05    0.651500893556933352E+04
   9   -0.650000000000000799E+00                         NaN
  10   -0.299999999999998845E+01    0.230847796571696819E-06
  11    0.520499999999998195E+02    0.243140197448386406E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.376605121714387592E+00
   2    0.198460319725788081E+01
   3    0.972819732300739481E+00
   4   -0.947194014134920792E+01
   5    0.331323929162165687E+01
   6    0.676483437762205675E+01
   7    0.685045444215529997E+01
   8    0.110282080537972215E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.645934966093872576E+00
   2    0.105980232144639164E+01
   3    0.208275042421461265E+01
   4   -0.432679042510651701E+01
   5    0.116862268681444692E+01
   6    0.877475088046363894E+01
   7    0.146715965133284998E+01
   8    0.109110205636944211E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
