Global Evidence:    0.979503799489239100E+02  +/-    0.515464731440038251E-01

Dim No.       Mean        Sigma
   1    0.499651744002297449E+00    0.204709917895371685E+00
   2    0.174387104203981713E+01    0.377865766051188434E+00
   3   -0.256327352027169342E+01    0.175308790764514133E+01
   4    0.610004208680202975E+01    0.188864530876152559E+01
   5    0.139141608308413449E+02    0.685995213314286456E+01
   6    0.105905013212449776E+05    0.597750018144327078E+04
   7   -0.649999999999994915E+00    0.698926413032923599E-07
   8   -0.299999999999998890E+01    0.259810623141567348E-06
   9    0.520499999999999403E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.500064823480674936E+00
   2    0.165889493492076801E+01
   3   -0.557639689607229361E+01
   4    0.672496216036774985E+01
   5    0.148577511882542943E+02
   6    0.878479099870817845E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.508788797530071224E+00
   2    0.150066329526040199E+01
   3   -0.447320993158006708E+01
   4    0.961084000724663667E+01
   5    0.176133743155933757E+02
   6    0.871701396028987620E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
