Global Evidence:    0.973254360527251237E+02  +/-    0.437816835671004032E-01

Dim No.       Mean        Sigma
   1    0.510029525912474191E+00    0.238278570708259224E+00
   2    0.193170610689544775E+01    0.981933623141468037E+00
   3    0.103004016414007027E+01    0.169834424159860564E+01
   4   -0.402151838091748992E+01    0.293719802974311239E+01
   5    0.142684079351282667E+01    0.197603721675647659E+01
   6    0.595659742817123750E+01    0.191530230106542310E+01
   7    0.289304223841385388E+01    0.372890606301259053E+01
   8    0.894165657777978595E+04    0.543959664099240308E+04
   9   -0.650000000000005351E+00                         NaN
  10   -0.299999999999999734E+01    0.285853834349675126E-06
  11    0.520500000000004732E+02                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.440980131273093767E+00
   2    0.183690188298301016E+01
   3    0.352632523134492004E+00
   4   -0.828087818037040790E+01
   5    0.329008114115463357E+01
   6    0.673093009109672735E+01
   7    0.640023767517357456E+01
   8    0.794653204606236068E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.187786737658182046E+00
   2    0.364826196528057434E+01
   3    0.204074508954654732E+01
   4   -0.893460748656355541E+01
   5    0.385109685983620442E+00
   6    0.598041808033845612E+01
   7    0.616362516578656594E+00
   8    0.222825065601337956E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
